filename	measure	score
PMC4706831.txt	gunning_fog	18.73
PMC4706831.txt	automated_readability_index	21.6
PMC4706831.txt	coleman_liau_index	15.62
PMC4706832.txt	flesch_reading_ease	48.03
PMC4706832.txt	gunning_fog	14.24
PMC4706832.txt	automated_readability_index	16.0
PMC4706832.txt	coleman_liau_index	13.76
PMC4706833.txt	flesch_reading_ease	20.55
PMC4706833.txt	gunning_fog	19.64
PMC4706833.txt	automated_readability_index	23.4
PMC4706833.txt	coleman_liau_index	16.84
PMC4706834.txt	flesch_reading_ease	25.42
PMC4706834.txt	gunning_fog	17.67
PMC4706834.txt	automated_readability_index	20.5
PMC4706834.txt	coleman_liau_index	16.55
PMC4706835.txt	flesch_reading_ease	29.52
PMC4706835.txt	gunning_fog	18.18
PMC4706835.txt	automated_readability_index	21.2
PMC4706835.txt	coleman_liau_index	14.4
PMC4711282.txt	flesch_reading_ease	31.21
PMC4711282.txt	gunning_fog	16.16
PMC4711282.txt	automated_readability_index	18.0
PMC4711282.txt	coleman_liau_index	16.31
PMC4711283.txt	flesch_reading_ease	28.94
PMC4711283.txt	gunning_fog	12.98
PMC4711283.txt	automated_readability_index	15.9
PMC4711283.txt	coleman_liau_index	17.22
PMC4711284.txt	flesch_reading_ease	38.25
PMC4711284.txt	gunning_fog	15.45
PMC4711284.txt	automated_readability_index	19.0
PMC4711284.txt	coleman_liau_index	16.66
PMC4711285.txt	flesch_reading_ease	26.95
PMC4711285.txt	gunning_fog	18.49
PMC4711285.txt	automated_readability_index	23.1
PMC4711285.txt	coleman_liau_index	19.21
PMC4711286.txt	flesch_reading_ease	27.56
PMC4711286.txt	gunning_fog	16.39
PMC4711286.txt	automated_readability_index	20.1
PMC4711286.txt	coleman_liau_index	16.77
PMC4711287.txt	flesch_reading_ease	206.84
PMC4711288.txt	flesch_reading_ease	25.42
PMC4711288.txt	gunning_fog	18.0
PMC4711288.txt	automated_readability_index	20.3
PMC4711288.txt	coleman_liau_index	15.62
PMC4713396.txt	flesch_reading_ease	25.53
PMC4713396.txt	gunning_fog	16.52
PMC4713396.txt	automated_readability_index	21.7
PMC4713396.txt	coleman_liau_index	17.24
PMC4713397.txt	flesch_reading_ease	22.89
PMC4713397.txt	gunning_fog	18.66
